Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
Latch,New York City,Security,,0.59,7/10/23,https://www.marketscreener.com/quote/stock/LATCH-INC-117136898/news/Latch-Drives-Additional-Discipline-and-Efficiency-Setting-the-Stage-For-Accelerated-Future-Growth-44303832/,342,Post-IPO,7/11/23 1:49,United States,https://docs.google.com/spreadsheets/d/15wDMcx3D47sgaArNJaPTzmlNpL82sZbGZvh5R8QA3lE/edit#gid=1460786091
Latch,New York City,Security,115,0.37,8/2/22,https://www.globenewswire.com/news-release/2022/08/02/2490797/0/en/Latch-announces-further-changes-to-improve-operating-efficiency.html,342,Post-IPO,8/4/22 18:53,United States,Unknown
Latch,New York City,Security,130,0.28,5/20/22,https://www.globenewswire.com/news-release/2022/05/20/2447915/0/en/Latch-resets-cost-structure.html,342,Post-IPO,5/21/22 21:28,United States,Unknown
Latch,New York City,Security,30,0.06,5/10/22,https://techcrunch.com/2022/05/13/startup-tech-layoff-and-hiring-freeze-in-may/,342,Post-IPO,5/12/22 1:19,United States,Unknown
Avalara,Seattle,Finance,,,1/20/23,https://www.geekwire.com/2023/tax-software-giant-avalara-reportedly-lays-off-workers/,341,Acquired,1/21/23 22:38,United States,Unknown
TrueCar,Los Angeles,Transportation,102,0.24,6/14/23,https://techcrunch.com/2023/06/14/truecar-lays-off-102-employees-taps-new-ceo-amid-restructure/,340,Post-IPO,6/15/23 3:50,United States,Unknown
Sumo Logic,SF Bay Area,Data,79,,6/7/23,https://www.sfchronicle.com/tech/article/sumo-logic-tech-layoffs-18150619.php,340,Acquired,6/10/23 18:17,United States,Unknown
TrueCar,Los Angeles,Transportation,219,0.3,5/28/20,https://labusinessjournal.com/news/2020/jun/01/truecar-lays-30-staff/,340,Post-IPO,5/29/20 1:55,United States,Unknown
Guideline,SF Bay Area,Finance,48,0.11,4/3/23,https://layoffstracker.com/guideline-to-lay-off-48-employees-11-workforce/,339,Series E,4/14/23 3:12,United States,Unknown
Casper,New York City,Retail,,,9/14/21,https://techcrunch.com/2021/09/14/casper-cuts-its-cmo-cto-and-coo-amid-further-layoffs/,339,Post-IPO,9/15/21 0:44,United States,Unknown
Casper,New York City,Retail,78,0.21,4/21/20,https://www.fastcompany.com/90494129/breaking-casper-lays-off-78-corporate-employees-winds-down-europe-business,339,Post-IPO,4/21/20 20:59,United States,Unknown
MadeiraMadeira,Curitiba,Retail,60,0.03,8/9/22,https://www.estadao.com.br/link/inovacao/unicornio-madeiramadeira-demite-60-pessoas-em-busca-de-ganho-de-eficiencia/,338,Series E,8/9/22 21:54,Brazil,Unknown
BigPanda,SF Bay Area,Infrastructure,40,0.13,4/24/23,https://www.calcalistech.com/ctechnews/article/hjmakgn73,337,Series E,4/25/23 13:55,United States,Unknown
Unico,Sao Paulo,Other,110,0.1,1/17/23,https://startups.com.br/noticias/unicornio-unico-demite-cerca-de-110-pessoas-105-da-forca/,336,Series D,1/18/23 2:12,Brazil,Unknown
Unico,Sao Paulo,Other,50,0.04,10/24/22,https://startups.com.br/noticias/unico-demite-na-area-de-vendas-e-reforca-equipe-de-tecnologia/,336,Series D,1/18/23 2:13,Brazil,Unknown
Fabric,New York City,Logistics,120,0.4,7/13/22,https://techcrunch.com/2022/07/13/fabric-lays-off-40-of-staff-as-it-shifts-strategy-from-service-to-platform/,336,Series C,7/13/22 14:52,United States,Unknown
Lightricks,Jerusalem,Consumer,80,0.12,7/4/22,https://en.globes.co.il/en/article-app-developer-lightricks-lays-off-70-in-israel-1001417020,335,Series D,7/4/22 15:36,Israel,Unknown
QuintoAndar,Sao Paulo,Real Estate,88,0.08,4/17/20,https://labs.ebanx.com/en/notes/brazilian-home-rentals-unicorn-quintoandar-lays-off-8-of-employees/,335,Series D,4/18/20 13:37,Brazil,Unknown
Mapbox,Washington D.C.,Data,64,,1/12/23,https://twitter.com/MapboxUnion/status/1616127786514796547,334,Unknown,1/20/23 1:12,United States,Unknown
Jamf,Minneapolis,Other,,0.06,1/25/24,https://www.streetinsider.com/dr/news.php?id=22671112,332,Post-IPO,1/25/24 14:40,United States,Unknown
CoachHub,Berlin,HR,,0.1,6/1/23,https://www.businessinsider.de/gruenderszene/business/coachhub-berliner-startup-entlasst-zehn-prozent-der-mitarbeiter/,332,Series C,6/4/23 15:13,Germany,Unknown
CoachHub,Berlin,HR,,0.1,1/24/23,https://www.linkedin.com/posts/niebelschuetz_today-we-announced-the-toughest-decision-activity-7023678997448290304-oDEB/,332,Series C,1/24/23 22:59,Germany,Unknown
Eventbrite,SF Bay Area,Consumer,500,0.45,4/8/20,https://layoffs.fyi/2020/04/13/eventbrite-laid-off-500-employees/,332,Post-IPO,4/8/20 20:36,United States,Unknown
FreshBooks,Toronto,Finance,,0.06,11/15/23,https://betakit.com/freshbooks-president-and-ceo-depart-as-company-lays-off-six-percent-of-employees/,331,Unknown,11/16/23 21:38,Canada,Unknown
FreshBooks,Toronto,Finance,80,0.1,3/21/23,https://betakit.com/freshbooks-lays-off-10-percent-of-staff/,331,Unknown,3/21/23 23:32,Canada,Unknown
FreshBooks,Toronto,Finance,,,12/16/22,https://betakit.com/layoffs-persist-at-canadian-tech-companies-amid-bleak-outlook-for-2023/,331,Unknown,3/21/23 23:34,Canada,Unknown
Taxfix,Berlin,Finance,120,0.2,5/30/23,https://techcrunch.com/2023/05/30/taxfix-layoffs/,330,Series D,5/31/23 1:39,Germany,Unknown
ShipBob,Chicago,Logistics,,0.07,8/25/22,https://www.businessinsider.com/shipbob-lays-off-7-of-staff-ecommerce-bust-2022-8,330,Series E,8/26/22 3:57,United States,Unknown
Rad Power Bikes,Seattle,Transportation,63,0.1,7/21/22,https://www.geekwire.com/2022/rad-power-bikes-cuts-about-10-of-staff-citing-economic-uncertainty-and-rising-operating-costs/,329,Series D,7/21/22 19:56,United States,Unknown
Rad Power Bikes,Seattle,Transportation,100,0.14,4/12/22,https://www.geekwire.com/2022/rad-power-bikes-lays-off-100-employees-about-14-of-staff-after-raising-304m-last-year/,329,Series D,5/5/22 23:38,United States,Unknown
Lattice,SF Bay Area,HR,105,0.15,1/12/23,https://lattice.com/blog/ceo-jack-altmans-email-to-lattice-employees,328,Series F,1/12/23 17:35,United States,Unknown
Lattice,SF Bay Area,HR,13,,10/27/22,Internal memo,328,Series F,11/3/22 4:21,United States,Unknown
Amber Group,Hong Kong,Crypto,,0.1,9/9/22,https://www.yahoo.com/now/crypto-trading-firm-amber-cut-193232181.html,328,Series B,9/11/22 16:09,Hong Kong,Unknown
Clarify Health,SF Bay Area,Healthcare,15,0.05,7/22/22,https://twitter.com/erinbrodwin/status/1550495194805518337,328,Series D,7/22/22 19:22,United States,Unknown
SoundHound,SF Bay Area,Other,200,0.5,1/5/23,https://gizmodo.com/soundhound-lays-off-half-employees-pitiful-severance-1849987534,326,Post-IPO,1/5/23 20:21,United States,Unknown
SoundHound,SF Bay Area,Other,45,0.1,11/10/22,https://techcrunch.com/2022/11/10/soundhound-layoffs/,326,Post-IPO,11/10/22 16:28,United States,Unknown
Medallia,SF Bay Area,Support,59,,2/24/23,https://www.mercurynews.com/2023/02/24/tech-biotech-job-cut-san-jose-san-mateo-pleasanton-layoff-covid/,325,Acquired,2/24/23 18:30,United States,Unknown
Stord,Atlanta,Logistics,59,0.08,6/2/22,https://www.businessinsider.com/stord-layoffs-supply-chain-tech-startup-after-raising-120-million-2022-6,325,Series D,6/3/22 17:55,United States,Unknown
Flatiron Health,New York City,Healthcare,39,,6/7/23,https://www.beckershospitalreview.com/oncology/cancer-care-startup-to-lay-off-employees.html,324,Acquired,6/24/23 3:49,United States,Unknown
Monzo,London,Finance,120,0.08,6/3/20,https://layoffs.fyi/2020/07/21/monzo-launches-layoff-list-amid-multiple-rounds-of-layoffs/,324,Series F,6/3/20 21:53,United Kingdom,Unknown
Monzo,Las Vegas,Finance,165,,4/9/20,https://techcrunch.com/2020/04/09/monzo-to-shutter-las-vegas/,324,Series F,4/9/20 21:56,United States,Unknown
Elemy,SF Bay Area,Healthcare,,,12/5/22,https://bhbusiness.com/2022/12/05/elemy-lays-off-staff-as-it-winds-down-direct-care-for-platform-business/,323,Series B,12/6/22 4:48,United States,Unknown
M1,Chicago,Finance,38,,7/19/22,Internal memo,323,Series E,7/30/22 23:20,United States,Unknown
Elemy,SF Bay Area,Healthcare,,,7/18/22,https://bhbusiness.com/2022/07/18/several-large-autism-service-providers-in-the-u-s-are-undergoing-a-wave-of-layoffs-and-closures/,323,Series B,7/20/22 3:44,United States,Unknown
Deep Instict,New York City,Security,46,0.15,7/25/23,https://www.calcalistech.com/ctechnews/article/sj5p0va9n,322,Unknown,7/26/23 23:14,United States,Unknown
Olist,Curitiba,Retail,,,1/30/23,https://www.estadao.com.br/link/inovacao/unicornio-olist-faz-2-rodada-de-demissoes-em-massa-e-aponta-mercado-arido-em-2023/,322,Series E,1/31/23 1:34,Brazil,Unknown
eToro,Tel Aviv,Finance,100,0.06,7/5/22,https://www.calcalistech.com/ctechnews/article/ryoxm611sc,322,Unknown,7/5/22 17:06,Israel,Unknown
Olist,Curitiba,Retail,,,5/23/22,"https://www.terra.com.br/noticias/tecnologia/inovacao/unicornio-olist-faz-demissoes-mas-rechaca-crise-na-companhia,255c294ee9e32047e1720aa6397f08e8pvf4joya.html",322,Series E,5/25/22 3:31,Brazil,Unknown
Synlogic,Boston,Healthcare,,0.25,12/1/22,https://www.fiercebiotech.com/biotech/sqz-ceo-exits-biotech-axes-60-staff-synlogic-succumbs-layoff-pressure,321,Post-IPO,12/11/22 6:21,United States,Unknown
Inmobi,Bengaluru,Marketing,125,0.05,1/11/24,https://economictimes.indiatimes.com/tech/technology/inmobi-to-lay-off-125-employees-in-operations-rejig/articleshow/106706950.cms,320,Unknown,1/12/24 4:40,India,Unknown
Redfin,Seattle,Real Estate,201,0.04,4/11/23,https://www.geekwire.com/2023/redfin-lays-off-201-employees-as-housing-market-continues-to-retrench/,320,Post-IPO,4/14/23 2:59,United States,Unknown
Inmobi,Bengaluru,Marketing,50,,1/23/23,https://www.business-standard.com/article/companies/softbank-backed-inmobi-fires-50-70-employees-on-performance-basis-123012200465_1.html,320,Unknown,1/23/23 15:59,India,Unknown
Redfin,Seattle,Real Estate,862,0.13,11/9/22,https://www.businessinsider.com/redfin-layoffs-home-flipping-business-redfinnow-shut-down-2022-11,320,Post-IPO,11/9/22 15:29,United States,Unknown
Redfin,Seattle,Real Estate,470,0.08,6/14/22,https://www.streetinsider.com/dr/news.php?id=20212223&gfv=1,319,Post-IPO,6/14/22 16:40,United States,Unknown
ezCater,Boston,Food,400,0.44,4/7/20,https://www.axios.com/ezcater-corporate-catering-unicorn-lays-off-hundreds-084d76ff-45fc-4011-8121-e938924e3819.html,319,Series D,4/7/20 22:55,United States,Unknown
Redfin,Seattle,Real Estate,236,0.07,4/7/20,https://www.geekwire.com/2020/redfin-lays-off-7-staff-furloughs-hundreds-agents-due-covid-19-impact-housing-demand/,319,Post-IPO,4/7/20 21:49,United States,Unknown
Embark Trucks,SF Bay Area,Transportation,230,0.7,3/3/23,https://techcrunch.com/2023/03/03/embark-trucks-lays-off-workers-explores-liquidation-of-self-driving-truck-assets/,317,Post-IPO,3/3/23 22:57,United States,Unknown
REE Automotive,Tel Aviv,Transportation,31,0.11,2/9/23,https://www.calcalistech.com/ctechnews/article/s16tkompi,317,Post-IPO,2/11/23 0:26,Israel,Unknown
Sarcos,Pittsburgh,Aerospace,150,,11/14/23,https://www.bizjournals.com/pittsburgh/inno/stories/profiles/2023/11/14/sarcos-robotics-to-close-pittsburgh-office.html,316,Post-IPO,1/2/24 3:51,United States,Unknown
Sarcos,Salt Lake City,Aerospace,75,0.25,7/17/23,https://www.therobotreport.com/sarcos-plans-to-layoff-around-75-workers-as-part-of-optimization-plan/,316,Post-IPO,7/19/23 16:38,United States,Unknown
Bizongo,Mumbai,Retail,50,,10/5/23,https://inc42.com/buzz/a-day-after-50-mn-fundraise-bizongo-lays-off-50-employees/,315,Series E,10/6/23 15:33,India,Unknown
CircleCI,SF Bay Area,Product,,,8/17/23,Internal memo,315,Series F,8/18/23 15:13,United States,Unknown
CircleCI,SF Bay Area,Product,,0.17,12/7/22,https://circleci.com/blog/ceo-jim-rose-email-to-circleci-employees/,315,Series F,12/7/22 21:47,United States,https://docs.google.com/spreadsheets/d/1A_1uk6qP_a0C2bwKcvV7G-meypWCgW-giK9O2UG8p_k/edit
Redesign Health,New York City,Healthcare,67,0.2,10/10/22,https://www.fastcompany.com/90794350/scoop-redesign-health-lays-off-67-employees-a-month-after-raising-65-million,315,Series C,10/10/22 22:51,United States,Unknown
AEye,SF Bay Area,Transportation,46,0.33,3/28/23,https://investors.aeye.ai/node/8921/html,314,Post-IPO,3/29/23 23:07,United States,Unknown
Creditas,Sao Paulo,Finance,,0.06,4/8/20,"https://link.estadao.com.br/noticias/inovacao,onda-de-demissoes-em-startups-atinge-getninjas-creditas-e-omie,70003263878",314,Series D,4/12/20 6:39,Brazil,Unknown
Built Technologies,Nashville,Construction,,,7/11/23,https://www.nashvillepost.com/business/technology/built-makes-second-round-of-layoffs-this-year/article_7e899552-2000-11ee-8965-47697ce53ccd.html,313,Unknown,7/13/23 3:34,United States,Unknown
Built Technologies copy,Nashville,Construction,,0.08,2/3/23,https://www.nashvillepost.com/business/people/built-lays-off-8-percent-of-workforce/article_55b98a54-a401-11ed-b6b2-532a991e1821.html,313,Unknown,7/13/23 3:35,United States,Unknown
Side,SF Bay Area,Real Estate,,,10/19/22,https://therealdeal.com/la/2022/10/19/white-label-brokerage-side-confirms-new-round-of-layoffs/,313,Unknown,11/7/22 19:10,United States,Unknown
Side,SF Bay Area,Real Estate,,0.1,6/1/22,https://www.inman.com/2022/06/01/side-lays-off-10-of-workforce-1-year-after-unicorn-valuation/,313,Unknown,6/1/22 23:57,United States,Unknown
Amplitude,SF Bay Area,Data,99,0.13,4/5/23,https://amplitude.com/blog/team-update,311,Post-IPO,4/5/23 18:14,United States,https://docs.google.com/spreadsheets/d/1EA7QiCABwVeIOOy3s5xP9MxvvTKSMm3a_3bf72B6PyE/edit#gid=544349911
Udemy,SF Bay Area,Education,,0.1,2/14/23,https://about.udemy.com/udemy-news/a-message-from-gregg-coccari-ceo-of-udemy/,311,Post-IPO,2/15/23 0:53,United States,Unknown
Flyhomes,Seattle,Real Estate,,,12/14/23,https://www.geekwire.com/2023/seattle-real-estate-startup-flyhomes-conducts-more-layoffs-amid-worsening-industry-headwinds/,310,Series C,12/18/23 18:38,United States,Unknown
Flyhomes,Seattle,Real Estate,,,6/5/23,https://www.geekwire.com/2023/seattle-startup-flyhomes-lays-off-employees-for-third-time-amid-real-estate-headwinds/,310,Series C,6/5/23 20:51,United States,Unknown
Flyhomes,Seattle,Real Estate,300,0.4,11/9/22,https://www.geekwire.com/2022/flyhomes-does-another-round-of-layoffs-as-housing-market-hurts-real-estate-tech-companies/,310,Series C,11/10/22 0:52,United States,Unknown
Fungible,SF Bay Area,Crypto,,,8/29/22,https://blocksandfiles.com/2022/08/29/fungible-lets-rip-with-a-rif/,310,Series C,8/30/22 4:19,United States,Unknown
Flyhomes,Seattle,Real Estate,200,0.2,7/20/22,https://www.geekwire.com/2022/seattle-real-estate-startup-flyhomes-cuts-20-of-staff-citing-uncertain-economic-conditions/,310,Series C,7/20/22 20:08,United States,Unknown
Enjoy,SF Bay Area,Retail,400,0.18,6/30/22,https://news.crunchbase.com/public/bankruptcy-enjoy-apple-ron-johnson/,310,Post-IPO,6/30/22 21:43,United States,Unknown
Rover,Seattle,Consumer,194,0.41000000000000003,3/31/20,https://www.geekwire.com/2020/pet-care-startup-rover-lays-off-41-workforce-194-employees-due-covid-19-impact/,310,Series G,3/31/20 20:59,United States,Unknown
Checkr,SF Bay Area,HR,64,0.12,7/23/20,https://layoffs.fyi/2020/07/28/checkr-lays-off-64-employees/,309,Series D,7/24/20 15:51,United States,Unknown
Vox Media,Washington D.C.,Media,,,7/14/20,https://www.cnbc.com/2020/07/14/vox-media-preparing-round-of-layoffs-due-to-coronavirus-business-impact.html,307.6,Series F,7/15/20 3:35,United States,Unknown
Vox Media,Washington D.C.,Media,,0.04,11/30/23,https://www.theinformation.com/briefings/vox-media-cuts-4-of-workforce,307,Series F,11/30/23 21:54,United States,Unknown
Staffbase,Chemnitz,Other,90,,6/2/23,https://www.businessinsider.de/gruenderszene/technologie/entlassungswelle-trifft-chemnitzer-software-unicorn-staffbase/?tpcc=offsite_gs_linkedin-facebook&fbclid=IwAR11HXLrgoy2GqefJu9xkrAtdqlHzdyBFXw1sYqgFmUJoacmBtcZSXNxmDw,307,Series E,6/4/23 15:14,Germany,Unknown
WalkMe,SF Bay Area,Other,112,0.1,4/19/23,https://www.calcalistech.com/ctechnews/article/byc3z4pgn,307,Post-IPO,4/19/23 15:39,United States,Unknown
Vox Media,Washington D.C.,Media,130,0.07,1/20/23,https://variety.com/2023/digital/news/vox-media-layoffs-130-employees-job-cuts-1235496467/,307,Series F,1/21/23 0:56,United States,Unknown
WalkMe,SF Bay Area,Other,43,0.03,1/8/23,https://www.calcalistech.com/ctechnews/article/bkzauhoqo,307,Post-IPO,1/9/23 5:14,United States,Unknown
Vox Media,Washington D.C.,Media,39,0.02,7/27/22,https://www.axios.com/2022/07/27/vox-media-layoffs-economic-uncertainty,307,Series F,7/29/22 6:11,United States,Unknown
Zilingo,Singapore,Retail,100,0.12,7/9/20,https://zilingotrade.com/en-th/blog/BLGCOMPANYANNOUNCEMENT,307,Series D,7/9/20 19:25,Singapore,Unknown
Zilingo,Singapore,Retail,44,0.05,4/17/20,https://www.bloomberg.com/news/articles/2020-04-20/singapore-s-zilingo-cuts-jobs-after-putting-global-push-on-hold,307,Series D,4/19/20 4:43,Singapore,Unknown
Friday Health Plans,Alamosa,Healthcare,,,6/21/23,https://www.bizjournals.com/denver/news/2023/06/21/friday-health-plans-layoffs-colorado-insurance.html,306,Private Equity,6/22/23 0:18,United States,Unknown
ThredUp,Chicago,Retail,,0.15,8/15/22,https://www.retaildive.com/news/thredup-lays-off-15-of-its-corporate-workforce-as-q2-losses-widen/629766/,305,Post-IPO,8/16/22 17:07,United States,Unknown
ThredUp,Chicago,Retail,243,,2/9/21,https://www.chicagotribune.com/business/ct-biz-thredup-vernon-hills-layoffs-20210209-m7a47qe53vf2neztz26ouko23i-story.html,305,Series F,2/9/21 23:15,United States,Unknown
Clearcover,Chicago,Finance,,0.28,9/1/23,https://coverager.com/clearcover-makes-additional-cuts/,304,Series D,9/1/23 23:38,United States,Unknown
Clearcover,Chicago,Finance,81,0.15,4/17/23,https://coverager.com/layoffs-at-clearcover/,304,Series D,4/25/23 22:57,United States,Unknown
Chipper Cash,SF Bay Area,Finance,15,0.33,12/11/23,https://techcabal.com/2023/12/11/chipper-cash-cuts-15-jobs/,302,Series C,12/11/23 18:37,United States,Unknown
Chipper Cash,SF Bay Area,Finance,100,0.33,2/17/23,https://techweez.com/2023/02/18/chipper-cash-fires-a-third-of-its-workforce/,302,Series C,2/20/23 18:18,United States,Unknown
Chipper Cash,SF Bay Area,Finance,50,0.125,12/6/22,https://techcrunch.com/2022/12/06/african-fintech-unicorn-chipper-cash-lays-off-about-12-5-of-staff/,302,Series C,12/7/22 2:37,United States,Unknown
Akili Labs,Boston,Healthcare,,0.4,9/13/23,https://www.bizjournals.com/boston/news/2023/09/13/akili-interactive-layoffs-september-2023-otc.html,301,Post-IPO,9/14/23 18:07,United States,Unknown
CoinSwitch,Bengaluru,Crypto,44,,8/28/23,https://entrackr.com/2023/08/crypto-firm-coinswitch-kuber-lays-off-44-employees/,301,Series C,8/28/23 20:17,India,Unknown
Akili Labs,Boston,Healthcare,46,0.3,1/12/23,https://bhbusiness.com/2023/01/12/digital-therapeutics-startup-akili-plans-to-lay-off-30-of-staff/,301,Post-IPO,1/14/23 17:24,United States,Unknown
Vedanta Biosciences,Boston,Healthcare,,0.2,8/10/22,https://www.fiercebiotech.com/biotech/vedanta-ceo-blames-challenging-environment-biotech-laying-20-staff,301,Series D,8/17/22 20:10,United States,Unknown
Sezzle,Minneapolis,Finance,,0.2,3/10/22,https://www.protocol.com/fintech/sezzle-zip-layoffs,301,Post-IPO,3/11/22 4:54,United States,Unknown
Astra,SF Bay Area,Aerospace,,0.25,8/4/23,https://techcrunch.com/2023/08/04/astra-lays-off-25-of-workforce-reallocates-engineers-in-an-effort-to-fight-dwindling-cash-reserves/,300,Post-IPO,8/5/23 0:51,United States,Unknown
Anaplan,SF Bay Area,Other,300,,6/21/23,https://nypost.com/2023/06/23/software-giant-anaplan-begins-layoffs-after-thoma-bravos-10-4b-buyout-deal/,300,Acquired,6/24/23 3:48,United States,Unknown
Cimpress,Paris,Retail,500,,3/23/23,https://www.marketwatch.com/story/cimpress-plans-to-cut-about-500-jobs-768d3efc,300,Post-IPO,4/11/23 21:00,France,https://vistaprint.app.box.com/s/o8pod64rlqvg0nkyrmr05glvi09hk5jc
Hootsuite,Vancouver,Marketing,70,0.07,1/18/23,https://www.theglobeandmail.com/business/article-hootsuite-replaces-ceo-announces-layoffs/,300,Series C,1/18/23 19:54,Canada,Unknown
Astra,SF Bay Area,Aerospace,,0.16,11/8/22,https://www.linkedin.com/posts/chrisckemp_today-we-made-the-difficult-decision-to-activity-6995868932138033153-knfZ/,300,Post-IPO,11/9/22 0:43,United States,Unknown
Hootsuite,Vancouver,Marketing,50,0.05,11/1/22,Internal memo,300,Series C,11/1/22 19:42,Canada,Unknown
Hootsuite,Vancouver,Marketing,400,0.3,8/9/22,https://betakit.com/hootsuite-restructuring-laying-off-30-percent-of-employees/,300,Series C,8/9/22 17:35,Canada,Unknown
Bullish,Hong Kong,Crypto,30,0.08,7/5/22,https://www.theblock.co/post/155859/bullish-com-cuts-jobs-crypto-exchange,300,Unknown,7/15/22 20:52,Hong Kong,Unknown
Canoo,Los Angeles,Transportation,58,0.06,7/1/22,https://www.businessinsider.com/canoo-layoffs-production-goals-electric-vehicle-startup-2022-6,300,Post-IPO,7/1/22 22:22,United States,Unknown
Zapp,London,Food,,0.1,5/25/22,https://sifted.eu/articles/zapp-layoffs-staff/,300,Unknown,5/27/22 3:46,United Kingdom,Unknown
Magicbricks,Noida,Real Estate,250,,5/17/20,https://www.livemint.com/companies/start-ups/job-losses-mount-in-small-startups-unicorns-11589738073416.html,300,Unknown,5/19/20 14:44,India,Unknown
Gympass,Sao Paulo,Fitness,467,0.33,4/3/20,https://forbes.com.br/negocios/2020/04/exclusivo-gympass-desliga-um-terco-dos-colaboradores/,300,Series D,4/5/20 21:25,Brazil,Unknown
Veho,Boulder,Logistics,65,0.19,1/25/24,https://techcrunch.com/2024/01/25/delivery-startup-veho-makes-corporate-job-cuts/,299,Series B,1/26/24 19:50,United States,Unknown
Openpay,Melbourne,Finance,83,1,2/7/23,https://www.9news.com.au/finance/openpay-buy-now-pay-later-collapses-asx-listed-company/1fd1c0d8-4215-4e64-a9ed-9381e0d3f1a5,299,Post-IPO,2/7/23 3:58,Australia,Unknown
Everlaw,SF Bay Area,Legal,,0.1,5/12/23,https://www.law360.com/pulse/legal-tech/articles/1607469/e-discovery-co-everlaw-conducts-10-staff-reduction,298,Series D,5/13/23 20:42,United States,Unknown
Rigetti Computing,SF Bay Area,Hardware,,0.28,2/10/23,https://www.marketwatch.com/story/rigetti-computing-to-slash-28-of-jobs-59be433b,298,Post-IPO,2/10/23 22:04,United States,Unknown
Tempo,SF Bay Area,Fitness,,,10/3/22,Internal memo,298,Series C,10/8/22 3:35,United States,https://docs.google.com/spreadsheets/d/1Yw7WKuJ7aN0SSPKjlvPP5SpnEeq54ZxukPNOjSxydqE/edit
FlexCar,Boston,Transportation,20,,8/16/23,https://www.bizjournals.com/boston/news/2023/08/16/flexcar-layoffs-2023.html,297,Unknown,8/18/23 15:09,United States,Unknown
Minted,SF Bay Area,Retail,147,0.37,4/3/20,https://www.theinformation.com/briefings/d4f745,297,Series E,4/5/20 17:53,United States,Unknown
At-Bay,SF Bay Area,Security,27,0.09,9/12/23,https://www.calcalistech.com/ctechnews/article/sypw6110a3,296,Unknown,9/6/23 1:52,United States,Unknown
Clutter,Los Angeles,Consumer,,0.3,3/25/20,https://www.teamblind.com/post/Corona-based-layoffs-tracker-sHaHz6KO,296,Series D,3/30/20 14:07,United States,Unknown
Innovid,New York City,Marketing,40,0.1,1/23/23,https://www.marketwatch.com/amp/story/innovid-will-cut-10-of-jobs-01674512868,295,Post-IPO,1/24/23 16:28,United States,Unknown
Paddle,London,Finance,,0.08,1/11/23,https://www.linkedin.com/feed/update/urn:li:activity:7018888417195237376/,293,Series D,1/12/23 0:53,United Kingdom,Unknown
AlayaCare,Montreal,Healthcare,80,0.14,8/16/22,https://betakit.com/alayacare-lays-off-14-percent-of-employees-slows-ma-plans/,293,Series D,8/17/22 18:25,Canada,Unknown
Meero,Paris,Other,350,0.5,5/9/22,https://www.challenges.fr/entreprise/la-licorne-meero-le-uber-de-la-photo-a-licencie-pres-de-50-de-ses-effectifs_812527,293,Series C,3/4/23 0:53,France,Unknown
BlackBuck,Bengaluru,Logistics,200,,4/17/20,https://www.cnbctv18.com/startup/coronavirus-effect-blackbuck-to-lay-off-over-200-employees-ecom-express-puts-hiring-on-hold-5704301.htm,293,Series D,4/19/20 4:41,India,Unknown
Metromile,SF Bay Area,Finance,100,0.33,4/6/20,https://layoffs.fyi/2020/04/08/metromile-laid-off-100-employees/,293,Series E,4/7/20 4:50,United States,Unknown
BenevolentAI,London,Healthcare,180,,5/25/23,https://endpts.com/benevolentai-lays-off-around-180-staffers-cuts-pipeline-programs-in-reorg/,292,Private Equity,5/26/23 4:32,United Kingdom,Unknown
Vedantu,Bengaluru,Education,385,,12/7/22,https://economictimes.indiatimes.com/tech/startups/edtech-firm-vedantu-cuts-385-jobs-in-fourth-round-of-layoffs-this-year/articleshow/96060595.cms,292,Series E,12/7/22 16:28,India,Unknown
Vedantu,Bengaluru,Education,100,,8/2/22,https://inc42.com/buzz/exclusive-edtech-unicorn-vedantu-lays-off-another-100-employees/,292,Series E,8/3/22 2:37,India,Unknown
Wave,Dakar,Finance,300,0.15,7/13/22,https://techcrunch.com/2022/07/13/wave-a-stripe-backed-african-fintech-valued-at-1-7-billion-cut-15-of-its-staff-in-june/,292,Series A,7/13/22 14:48,Senegal,Unknown
Vedantu,Bengaluru,Education,424,0.07,5/18/22,https://economictimes.indiatimes.com/tech/startups/vedantu-says-it-is-laying-off-another-424-employees/articleshow/91636698.cms,292,Series E,5/18/22 15:48,India,Unknown
Vedantu,Bengaluru,Education,200,0.03,5/5/22,https://economictimes.indiatimes.com/tech/startups/edtech-unicorn-vedantu-lays-off-200-employees/articleshow/91346831.cms,292,Series E,5/7/22 13:51,India,Unknown
Evernote,SF Bay Area,Consumer,,,7/7/23,https://www.sfgate.com/tech/article/evernote-layoffs-moving-to-europe-18190083.php,290,Acquired,7/8/23 0:19,United States,Unknown
Evernote,SF Bay Area,Consumer,129,,2/17/23,https://techcrunch.com/2023/02/27/bending-spoons-lays-off-129-evernote-staffers/,290,Acquired,2/27/23 17:20,United States,Unknown
Nomad,Sao Paulo,Finance,,0.2,8/4/22,https://finsiders.com.br/2022/08/04/nomad-corta-20-da-equipe-quase-tres-meses-apos-aporte/,290,Series B,8/10/22 15:19,Brazil,Unknown
Hyperscience,New York City,Data,100,0.25,3/3/22,https://www.theinformation.com/articles/automation-firm-hyperscience-slashes-staff-loses-ceo-as-startups-face-growing-pressure,289,Series E,3/4/22 0:14,United States,Unknown
Expel,Washington D.C.,Security,60,0.1,6/9/23,https://expel.com/blog/a-message-from-expels-co-founders/,288,Series E,6/9/23 23:57,United States,Unknown
